     R     Theta      V_r      V_theta    V_rV_t      V_phi     v_phi     beta
    185.33     45.00    13.7940    10.7418     0.0000    11.1177     0.0000     0.3720
      0.41     71.57     1.8839     1.5039     0.0000     1.2286     0.0000     0.4687
      1.16     71.57     2.5361     2.4789     0.0000     2.4166     0.0000     0.0683
      2.09     71.57     1.5674     3.0855     0.0000     3.5176     0.0000    -3.4557
      3.24     71.57     1.5171     6.6564     0.0000     4.3993     0.0000   -12.8293
      4.68     71.57     1.3479     5.2104     0.0000     9.9202     0.0000   -33.5558
      6.46     71.57     2.4451    13.7008     0.0000     7.6643     0.0000   -19.6112
      8.66     71.57     4.2334    14.8310     0.0000    15.0259     0.0000   -11.4356
     11.40     71.57     6.3224    17.8742     0.0000    17.2184     0.0000    -6.7048
     14.80     71.57     8.0916    19.7774     0.0000    19.4985     0.0000    -4.8904
     19.02     71.57     9.8639    20.5851     0.0000    20.1663     0.0000    -3.2675
     24.25     71.57    11.5623    20.4460     0.0000    20.6072     0.0000    -2.1518
     30.75     71.57    13.5897    20.5288     0.0000    20.9733     0.0000    -1.3319
     38.80     71.57    15.2134    19.7448     0.0000    20.1559     0.0000    -0.7199
     48.80     71.57    17.6827    19.1507     0.0000    19.4963     0.0000    -0.1943
     61.21     71.57    19.0542    18.3631     0.0000    19.1704     0.0000     0.0295
     76.60     71.57    16.9012    17.3320     0.0000    17.7246     0.0000    -0.0757
     95.71     71.57    15.2557    16.0199     0.0000    16.5495     0.0000    -0.1398
    119.41     71.57    15.4663    14.7234     0.0000    15.1806     0.0000     0.0652
    148.83     71.57    15.0461    13.1379     0.0000    13.3147     0.0000     0.2272
    185.33     71.57    13.5113    10.5333     0.0000    10.7833     0.0000     0.3776
